Designation (and name),Prov. Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2015 GS50,36.673,58.276,6.6,20170216,239.7,39.2,326.5,1.7,0.228,47.474,2,MPO 389143,2015/04/13 807
,2015 GQ50,38.599,54.865,6.9,20170216,140.2,36.3,19.9,11.5,0.174,46.732,2,MPO 389143,2015/04/13 807
,2015 GO50,37.986,51.454,6.3,20170216,21.3,236.2,283.7,16.4,0.151,44.720,4,MPO 386915,2015/04/13 807
,2015 FW392,37.838,54.257,7.3,20170216,46.2,60.7,36.4,3.1,0.178,46.047,2,MPO 389141,2015/03/23 695 M. W. Buie
,2015 FS345,40.737,53.042,7.1,20170216,347.9,82.5,98.4,3.5,0.131,46.890,2,MPO 384417,2015/03/17 568
,2015 FR345,33.386,46.724,7.3,20170216,68.1,15.3,98.4,13.6,0.166,40.055,2,MPO 384417,2015/03/17 568
,2015 FP345,34.224,53.938,6.6,20170216,26.5,35.0,130.1,10.0,0.224,44.081,3,MPO 384417,2015/03/25 F51 Pan-STARRS 1
,2015 FO345,34.947,46.035,6.8,20170216,25.7,33.5,152.7,20.1,0.137,40.491,3,MPO 384416,2015/03/22 F51 Pan-STARRS 1
,2015 FN345,38.066,46.182,6.0,20170216,319.9,116.2,172.4,27.9,0.096,42.124,3,MPO 384416,2015/03/25 F51 Pan-STARRS 1
,2015 FM345,41.368,44.411,5.9,20170216,55.2,58.4,103.4,17.1,0.035,42.890,3,MPO 384416,2015/03/21 F51 Pan-STARRS 1
,2015 FL345,40.315,52.132,5.6,20170216,292.9,173.9,116.8,5.4,0.128,46.223,3,MPO 384416,2015/03/21 F51 Pan-STARRS 1
,2015 FG345,36.960,47.841,5.2,20170216,297.4,221.3,58.7,36.0,0.128,42.401,6,MPO 386910,2015/03/18 F51 Pan-STARRS 1
,2015 FP36,26.493,53.099,7.3,20170216,342.1,97.0,152.0,24.0,0.334,39.796,4,MPO 377896,2015/03/18 F51 Pan-STARRS 1
,2015 DC225,35.428,54.589,7.8,20150227,26.1,335.5,160.6,8.9,0.213,45.008,( 56d),MPO 392456,2015/02/18 695 M. W. Buie
,2015 DB225,43.606,44.861,7.5,20150227,357.4,80.8,76.9,2.8,0.014,44.234,( 56d),MPO 392456,2015/02/18 695 M. W. Buie
,2015 CL62,35.789,47.723,6.3,20170216,322.4,207.5,335.7,19.0,0.143,41.756,3,MPO 384390,2015/02/12 F51 Pan-STARRS 1
,2015 BG519,38.158,40.134,6.2,20170216,220.8,343.1,330.6,34.3,0.025,39.146,4,MPO 384387,2015/01/23 F51 Pan-STARRS 1
,2015 BF519,26.633,52.442,7.3,20150227,339.2,265.7,290.3,19.2,0.326,39.537,( 87d),MPO 386897,2015/01/21 F51 Pan-STARRS 1
,2015 BE519,44.904,51.093,5.3,20170216,69.9,295.5,153.1,24.7,0.064,47.998,3,MPO 384386,2015/01/20 F51 Pan-STARRS 1
,2015 BA519,30.899,48.705,7.4,20170216,7.7,44.5,152.7,2.8,0.224,39.802,4,MPO 384386,2015/01/26 F51 Pan-STARRS 1
