Designation (and name),Prov. Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2013 FZ27,37.856,58.917,4.1,20170216,281.6,340.7,285.1,14.0,0.218,48.386,6,MPO 386867,2013/03/16 807
,2013 EJ154,39.420,49.142,5.7,20170216,149.0,96.5,290.4,9.8,0.110,44.281,4,MPO 384273,2013/03/06 F51 Pan-STARRS 1
,2013 EH154,25.672,38.453,7.8,20170216,311.6,352.5,267.5,8.2,0.199,32.062,4,MPO 384273,2013/03/04 F51 Pan-STARRS 1
,2013 EM149,42.702,48.505,6.8,20170216,29.5,18.6,169.2,2.6,0.064,45.603,3,MPO 347290,2013/03/13 695 M. W. Buie
,2013 EC138,40.924,54.313,5.7,20170216,337.5,211.9,310.9,8.4,0.141,47.619,4,MPO 384273,2013/03/13 695 M. W. Buie
,2013 CD223,30.803,48.253,5.6,20170216,177.6,260.2,73.7,5.3,0.221,39.528,4,MPO 384270,2013/02/09 F51 Pan-STARRS 1
,2013 BN82,34.544,53.005,6.6,20170216,10.8,278.9,193.9,6.6,0.211,43.775,5,MPO 384267,2013/01/17 F51 Pan-STARRS 1
,2013 AQ183,38.940,54.430,6.5,20170216,0.2,309.0,190.1,2.6,0.166,46.685,3,MPO 384265,2013/01/10 F51 Pan-STARRS 1
,2012 YO9,36.180,50.775,7.7,20170216,299.7,4.3,118.6,15.4,0.168,43.477,3,MPO 336618,2012/12/17 W84 Dark Energy Survey
,2012 XR157,36.913,58.577,5.6,20170216,319.1,276.5,223.7,30.0,0.227,47.745,4,MPO 289744,2012/12/11 807
,2012 VV113,40.738,50.994,7.4,20170216,351.1,295.7,116.0,15.7,0.112,45.866,3,MPO 369168,2012/11/15 W84 Dark Energy Survey
,2012 VU113,36.446,42.225,7.7,20170216,16.2,314.3,65.5,30.2,0.073,39.335,4,MPO 339480,2012/11/15 W84 Dark Energy Survey
,2012 VR113,39.455,55.426,6.6,20170216,40.8,219.5,121.0,19.3,0.168,47.441,3,MPO 327126,2012/11/15 W84 Dark Energy Survey
,2012 UE178,41.295,45.948,5.9,20170216,215.7,126.0,90.0,4.2,0.053,43.622,4,MPO 384261,2012/10/21 F51 Pan-STARRS 1
,2012 UC178,35.177,48.970,6.5,20170216,54.9,169.1,178.4,2.5,0.164,42.074,3,MPO 384261,2012/10/21 F51 Pan-STARRS 1
,2012 UB178,37.664,47.407,5.7,20170216,150.6,82.9,180.5,9.0,0.115,42.536,2,MPO 384261,2012/10/21 F51 Pan-STARRS 1
,2012 UU177,42.264,45.318,8.4,20121020,184.5,286.7,283.2,16.2,0.035,43.791,( 2d),MPO 322278,2012/10/21 568
,2012 UT177,41.091,53.486,7.6,20170216,152.2,280.7,320.6,16.4,0.131,47.288,2,MPO 317746,2012/10/21 568
,2012 UP177,38.545,46.712,8.1,20170216,51.4,58.1,280.1,16.6,0.096,42.628,2,MPO 317746,2012/10/21 568 M. Alexandersen
,2012 UO177,39.839,42.937,8.3,20170216,135.4,330.5,289.9,16.4,0.037,41.388,2,MPO 317746,2012/10/21 568 M. Alexandersen
,2012 UN177,36.324,49.618,7.5,20170216,352.8,71.1,341.4,20.1,0.155,42.971,4,MPO 339477,2012/10/20 568 M. Alexandersen
,2012 UM177,40.955,45.750,8.6,20170216,50.5,53.8,287.7,16.2,0.055,43.352,2,MPO 317745,2012/10/20 568 M. Alexandersen
,2012 UL177,35.901,45.074,7.4,20170216,341.9,148.7,272.1,19.2,0.113,40.487,2,MPO 317745,2012/10/20 568 M. Alexandersen
,2012 UH177,31.647,46.856,7.9,20170216,146.4,345.5,255.1,23.8,0.194,39.251,2,MPO 317745,2012/10/21 568 M. Alexandersen
,2012 UG177,30.468,47.774,9.6,20170216,5.4,130.5,261.8,21.9,0.221,39.121,3,MPO 369168,2012/10/20 568 M. Alexandersen
,2012 TF324,38.568,47.737,6.4,20170216,338.5,93.8,318.6,7.9,0.106,43.153,3,MPO 384258,2012/10/09 F51 Pan-STARRS 1
,2012 TE324,40.465,51.339,6.1,20170216,308.8,305.2,152.1,5.6,0.118,45.902,4,MPO 384258,2012/10/08 F51 Pan-STARRS 1
,2012 TD324,33.847,44.600,6.7,20170216,55.9,189.6,114.6,9.6,0.137,39.223,4,MPO 384258,2012/10/06 F51 Pan-STARRS 1
,2012 TC324,33.937,50.180,6.4,20170216,1.4,259.4,131.9,9.6,0.193,42.058,5,MPO 384258,2012/10/07 F51 Pan-STARRS 1
,2012 SB67,40.437,53.207,6.2,20170216,6.5,151.4,214.6,18.0,0.136,46.822,4,MPO 384252,2012/09/26 F51 Pan-STARRS 1
,2012 KW51,36.495,59.682,6.2,20170216,322.3,122.1,161.8,11.6,0.241,48.088,4,MPO 384246,2012/05/18 F51 Pan-STARRS 1
,2012 KU50,30.873,51.868,6.2,20170216,17.7,127.2,66.8,18.8,0.254,41.370,5,MPO 384246,2012/05/18 809 M. E. Schwamb
,2012 JH67,34.868,61.438,5.2,20170216,65.2,165.2,329.1,6.6,0.276,48.153,5,MPO 384245,2012/05/14 F51 Pan-STARRS 1
,2012 HL85,40.214,41.357,6.3,20170216,238.3,297.4,47.7,16.5,0.014,40.786,4,MPO 384245,2012/04/27 F51 Pan-STARRS 1
,2012 HE85,40.098,49.268,10.1,20170216,355.0,55.7,235.1,3.0,0.103,44.683,3,MPO 380372,2012/04/18 268 New Horizons KBO Search
,2012 HZ84,36.796,55.777,10.1,20170216,318.0,88.6,257.1,5.4,0.205,46.287,2,MPO 286676,2012/04/17 268 New Horizons KBO Search
,2012 HG84,39.379,47.212,5.3,20170216,320.6,21.6,266.4,10.9,0.090,43.296,4,MPO 384244,2012/04/17 809 M. E. Schwamb
,2012 FK84,38.881,54.916,6.2,20170216,2.0,82.3,134.4,16.5,0.171,46.898,5,MPO 384243,2012/03/29 F51 Pan-STARRS 1
,2012 DB99,32.257,47.146,6.1,20170216,85.5,44.4,48.5,9.7,0.188,39.702,5,MPO 384243,2012/02/28 F51 Pan-STARRS 1
,2012 DA99,41.377,44.960,6.4,20170216,356.5,141.9,56.6,3.2,0.042,43.168,4,MPO 384242,2012/02/28 F51 Pan-STARRS 1
,2012 DZ98,41.934,44.185,6.4,20170216,288.0,198.0,67.0,2.8,0.026,43.059,4,MPO 384242,2012/02/16 F51 Pan-STARRS 1
,2012 DX98,35.121,61.767,6.9,20170216,359.2,188.6,9.7,13.1,0.275,48.444,3,MPO 384242,2012/02/27 F51 Pan-STARRS 1
,2012 DW98,39.726,43.060,5.8,20170216,356.3,355.3,209.7,19.0,0.040,41.393,6,MPO 384242,2012/02/27 F51 Pan-STARRS 1
,2012 CS57,41.903,45.059,6.1,20170216,287.4,68.9,150.6,17.0,0.036,43.481,4,MPO 384241,2012/02/03 F51 Pan-STARRS 1
,2012 BY154,35.153,50.060,6.7,20170216,339.7,191.6,3.8,7.1,0.175,42.607,6,MPO 384239,2012/01/21 F51 Pan-STARRS 1
,2012 BW154,35.352,53.244,5.6,20170216,313.5,158.1,66.7,7.9,0.202,44.298,3,MPO 384239,2012/01/20 F51 Pan-STARRS 1
,2012 BV154,37.651,56.796,6.9,20170216,10.7,338.8,176.7,12.2,0.203,47.224,4,MPO 384239,2012/01/19 F51 Pan-STARRS 1
,2011 XJ4,36.858,55.098,6.9,20170216,8.6,191.2,335.2,11.2,0.198,45.978,4,MPO 384238,2011/12/06 F51 Pan-STARRS 1
,2011 VJ24,31.966,47.405,5.8,20170216,344.1,121.2,12.9,9.5,0.195,39.685,5,MPO 384237,2011/11/10 F51 Pan-STARRS 1
,2011 UK413,37.825,45.108,6.2,20170216,89.3,84.8,256.5,13.7,0.088,41.466,4,MPO 384236,2011/10/25 F51 Pan-STARRS 1
,2011 UA413,31.681,41.055,8.6,20170216,19.6,83.8,292.3,5.4,0.129,36.368,3,MPO 357179,2011/10/26 568 M. Alexandersen
,2011 UZ412,31.586,40.974,9.3,20170216,4.7,27.6,9.8,6.8,0.129,36.280,2,MPO 317700,2011/10/24 568 M. Alexandersen
,2011 UY412,41.694,44.421,8.9,20111026,358.6,18.9,16.0,7.9,0.032,43.058,( 7d),MPO 322262,2011/10/24 568
,2011 UX412,41.019,47.845,8.1,20111026,224.4,315.7,216.8,29.8,0.077,44.432,( 37d),MPO 322262,2011/10/24 568
,2011 UV412,33.762,63.228,8.0,20170216,75.7,63.6,219.3,11.6,0.304,48.495,2,MPO 317700,2011/10/24 568
,2011 UU412,32.753,45.864,9.7,20111026,360.0,7.7,25.4,23.2,0.167,39.309,( 36d),MPO 322262,2011/10/26 568 M. Alexandersen
,2011 UT412,39.161,56.543,7.8,20170216,74.3,78.4,224.3,17.9,0.182,47.852,2,MPO 317700,2011/10/26 568 M. Alexandersen
,2011 US412,40.017,55.293,7.7,20170216,292.6,117.9,5.2,2.6,0.160,47.655,2,MPO 317700,2011/10/24 568 M. Alexandersen
,2011 UR412,34.312,65.338,8.8,20170216,345.8,54.7,15.3,17.9,0.311,49.825,2,MPO 317700,2011/10/26 568 M. Alexandersen
,2011 UO412,33.020,42.786,7.9,20170216,90.9,271.6,21.2,27.9,0.129,37.903,2,MPO 317699,2011/10/26 568 M. Alexandersen
,2011 UN412,36.443,41.187,8.5,20170216,215.0,327.5,216.3,20.5,0.061,38.815,2,MPO 317699,2011/10/24 568 M. Alexandersen
,2011 UM412,39.358,50.980,8.5,20170216,36.1,123.0,231.7,10.8,0.129,45.169,2,MPO 317699,2011/10/26 568 M. Alexandersen
,2011 UL412,39.269,46.421,7.7,20170216,92.0,57.3,239.4,10.4,0.083,42.845,2,MPO 317699,2011/10/26 568 M. Alexandersen
,2011 UK412,36.980,44.175,7.9,20170216,22.7,151.0,218.9,26.4,0.089,40.578,3,MPO 339458,2011/10/26 568 M. Alexandersen
,2011 UJ412,40.530,43.236,8.1,20170216,223.1,151.8,27.1,29.8,0.032,41.883,2,MPO 317699,2011/10/26 568 M. Alexandersen
,2011 UH412,37.508,47.360,8.2,20170216,296.1,96.3,21.6,15.2,0.116,42.434,2,MPO 317698,2011/10/26 568 M. Alexandersen
,2011 UG412,39.160,53.288,7.7,20170216,56.4,23.5,304.0,2.5,0.153,46.224,2,MPO 317698,2011/10/26 568 M. Alexandersen
,2011 UF412,44.150,45.594,8.2,20170216,172.6,272.5,314.0,2.1,0.016,44.872,2,MPO 317698,2011/10/24 568 M. Alexandersen
,2011 UE412,38.324,48.351,6.7,20170216,173.6,5.0,218.1,22.9,0.116,43.337,2,MPO 317698,2011/10/24 568 M. Alexandersen
,2011 UD412,42.879,47.545,7.0,20170216,299.8,105.2,358.4,5.5,0.052,45.212,3,MPO 317698,2011/10/24 568 M. Alexandersen
,2011 UC412,40.330,46.087,7.8,20170216,26.1,31.4,337.5,3.1,0.067,43.209,2,MPO 317698,2011/10/24 568 M. Alexandersen
,2011 UB412,40.623,46.039,7.9,20170216,130.0,245.8,14.6,15.4,0.062,43.331,3,MPO 357179,2011/10/24 568 M. Alexandersen
,2011 UA412,39.409,52.620,8.7,20170216,358.0,147.2,252.5,3.0,0.144,46.015,2,MPO 317697,2011/10/24 568 M. Alexandersen
,2011 UZ411,42.915,47.749,7.8,20170216,89.2,347.4,315.3,1.2,0.053,45.332,2,MPO 317697,2011/10/24 568 M. Alexandersen
,2011 UY411,41.241,46.807,7.8,20170216,297.7,157.9,309.4,1.9,0.063,44.024,2,MPO 317697,2011/10/24 568 M. Alexandersen
,2011 UX411,38.193,46.294,8.5,20170216,53.1,313.8,24.2,7.2,0.096,42.243,2,MPO 317697,2011/10/24 568 M. Alexandersen
,2011 UW411,36.438,50.883,8.4,20170216,303.1,96.1,18.5,4.5,0.165,43.661,2,MPO 317697,2011/10/24 568 M. Alexandersen
,2011 UV411,40.410,45.924,8.2,20170216,53.0,320.4,20.2,4.4,0.064,43.167,2,MPO 317697,2011/10/24 568 M. Alexandersen
,2011 UU411,42.465,45.031,7.9,20170216,298.9,106.2,357.1,1.7,0.029,43.748,2,MPO 317697,2011/10/24 568 M. Alexandersen
,2011 UO411,33.559,50.593,8.7,20170216,354.4,99.3,310.1,5.3,0.202,42.076,2,MPO 317696,2011/10/26 568 M. Alexandersen
,2011 UN411,33.430,50.829,9.2,20170216,9.8,61.0,326.5,3.2,0.206,42.130,2,MPO 317696,2011/10/26 568 M. Alexandersen
,2011 UM411,35.711,48.407,7.3,20170216,189.4,197.6,11.5,9.4,0.151,42.059,3,MPO 357179,2011/10/24 568 M. Alexandersen
,2011 UL411,39.185,44.881,8.7,20170216,5.8,82.6,308.5,2.0,0.068,42.033,2,MPO 317695,2011/10/24 568 M. Alexandersen
,2011 UK411,32.432,51.827,6.8,20170216,341.9,210.9,219.3,13.5,0.230,42.129,5,MPO 384235,2011/10/24 568 M. Alexandersen
,2011 UJ411,37.253,46.939,8.4,20170216,351.0,30.5,21.6,5.2,0.115,42.096,2,MPO 317695,2011/10/24 568 M. Alexandersen
,2011 UH411,35.122,56.750,8.6,20170216,352.7,198.6,214.1,27.1,0.235,45.936,2,MPO 317695,2011/10/24 568 M. Alexandersen
,2011 UG411,41.022,53.802,8.7,20170216,33.7,115.2,238.8,10.7,0.135,47.412,2,MPO 317695,2011/10/26 568 M. Alexandersen
,2011 UF411,31.217,63.776,8.4,20170216,330.2,196.4,261.7,5.9,0.343,47.497,2,MPO 317695,2011/10/26 568 M. Alexandersen
,2011 UE411,32.323,62.460,9.3,20170216,334.6,73.9,17.1,9.4,0.318,47.392,2,MPO 317695,2011/10/24 568 M. Alexandersen
,2011 UD411,27.756,50.401,7.1,20170216,282.0,132.5,19.1,15.7,0.290,39.078,3,MPO 317694,2011/10/26 568 M. Alexandersen
,2011 UC411,28.592,49.554,7.9,20170216,14.7,88.2,289.2,4.7,0.268,39.073,4,MPO 339458,2011/10/26 568 M. Alexandersen
,2011 UB411,37.793,41.087,8.0,20170216,63.0,317.9,13.4,14.9,0.042,39.440,3,MPO 317694,2011/10/26 568 M. Alexandersen
,2011 UA411,29.624,48.453,9.3,20170216,359.0,167.7,237.9,8.7,0.241,39.038,3,MPO 317694,2011/10/26 568 M. Alexandersen
,2011 UZ410,34.469,44.240,8.3,20170216,79.7,6.6,298.5,3.8,0.124,39.355,4,MPO 339458,2011/10/26 568 M. Alexandersen
,2011 UY410,33.939,44.341,9.2,20170216,21.7,2.4,12.5,8.6,0.133,39.140,2,MPO 317694,2011/10/26 568 M. Alexandersen
,2011 UX410,26.389,52.145,8.3,20170216,309.8,264.1,224.0,17.5,0.328,39.267,3,MPO 317693,2011/10/26 568 M. Alexandersen
,2011 UW410,30.849,47.985,8.3,20170216,73.5,284.4,18.0,10.8,0.217,39.417,3,MPO 317693,2011/10/26 568 M. Alexandersen
,2011 UV410,29.185,49.278,7.9,20170216,23.8,29.6,332.2,4.3,0.256,39.232,5,MPO 339458,2011/10/24 568 M. Alexandersen
,2011 UU410,28.958,49.251,9.8,20170216,4.4,15.4,19.4,12.6,0.259,39.104,3,MPO 317693,2011/10/24 568 M. Alexandersen
,2011 UT410,32.320,46.406,5.7,20170216,288.3,110.3,19.8,13.5,0.179,39.363,5,MPO 386835,2011/10/24 568 M. Alexandersen
,2011 US410,29.327,49.348,8.6,20170216,60.0,289.5,20.6,11.9,0.254,39.337,3,MPO 317693,2011/10/24 568 M. Alexandersen
,2011 UR410,28.801,49.689,9.6,20170216,340.4,50.8,27.1,17.4,0.266,39.245,3,MPO 317693,2011/10/24 568 M. Alexandersen
,2011 UQ410,28.981,49.438,9.5,20170216,35.5,334.8,10.9,3.3,0.261,39.209,3,MPO 317692,2011/10/24 568 M. Alexandersen
,2011 UP410,32.656,46.194,8.4,20170216,347.1,179.8,241.7,2.7,0.172,39.425,3,MPO 317692,2011/10/24 568 M. Alexandersen
,2011 OA60,35.040,46.736,5.0,20170216,22.1,140.6,129.4,23.1,0.143,40.888,3,MPO 384223,2011/07/20 F51 Pan-STARRS 1
,2011 KW48,32.368,42.676,8.8,20110608,347.9,46.9,246.2,3.6,0.137,37.522,( 34d),MPO 300648,2011/05/29 266 New Horizons KBO Search
,2011 JY31,41.602,46.599,8.8,20170216,312.1,105.6,231.3,2.6,0.057,44.101,2,MPO 265011,2011/05/04 268 New Horizons KBO Search
,2011 JX31,40.113,49.986,8.2,20170216,111.2,21.4,139.0,3.3,0.110,45.050,2,MPO 246943,2011/05/02 268 New Horizons KBO Search
,2011 JW31,42.908,48.464,9.3,20170216,21.4,51.0,208.9,1.9,0.061,45.686,2,MPO 243507,2011/05/04 268 New Horizons KBO Search
,2011 HL103,35.172,49.517,7.9,20110519,324.7,220.9,103.9,14.5,0.169,42.345,( 65d),MPO 300648,2011/04/28 268 New Horizons KBO Search
,2011 HJ103,38.633,54.364,9.3,20110519,324.5,199.1,126.3,5.4,0.169,46.498,( 65d),MPO 288496,2011/04/28 268 New Horizons KBO Search
,2011 HF103,42.780,43.096,8.5,20170216,347.6,143.8,152.2,3.1,0.004,42.938,2,MPO 262255,2011/04/29 268 New Horizons KBO Search
,2011 HE103,40.315,47.442,9.5,20170216,163.6,216.5,260.4,6.8,0.081,43.879,2,MPO 256132,2011/04/28 268 New Horizons KBO Search
,2011 HD103,32.918,55.352,8.4,20170216,236.8,304.0,121.2,5.7,0.254,44.135,2,MPO 256132,2011/04/28 268 New Horizons KBO Search
,2011 HZ102,42.799,43.826,9.2,20170216,69.0,59.1,154.5,2.4,0.012,43.312,3,MPO 380365,2011/04/28 268 New Horizons KBO Search
,2011 CX119,36.212,47.709,6.4,20170216,119.2,68.3,323.8,27.3,0.137,41.961,4,MPO 384219,2011/02/04 F51 Pan-STARRS 1
,2011 BV163,39.618,49.008,6.5,20170216,346.9,43.1,105.6,4.5,0.106,44.313,5,MPO 384218,2011/01/30 F51 Pan-STARRS 1
,2011 BS163,41.809,45.996,6.2,20170216,121.8,214.1,168.3,4.6,0.048,43.903,4,MPO 384218,2011/01/30 F51 Pan-STARRS 1
,2010 VX224,31.471,47.791,6.2,20170216,286.7,2.5,153.0,15.6,0.206,39.631,4,MPO 384213,2010/11/10 F51 Pan-STARRS 1
,2010 VW224,37.553,49.837,5.4,20170216,185.1,146.9,102.4,8.9,0.141,43.695,4,MPO 384213,2010/11/09 F51 Pan-STARRS 1
,2010 VV224,37.123,50.833,5.9,20170216,337.6,218.2,225.2,25.2,0.156,43.978,4,MPO 384212,2010/11/07 F51 Pan-STARRS 1
,2010 VL201,34.744,37.911,5.7,20170216,327.0,348.5,104.1,5.5,0.044,36.328,6,MPO 384212,2010/11/12 809
,2010 VK201,38.116,47.914,4.6,20170216,177.3,81.3,156.6,28.9,0.114,43.015,3,MPO 245933,2010/11/03 809
,2010 VX11,28.153,50.566,6.2,20170216,343.0,292.8,170.7,22.3,0.285,39.360,4,MPO 384212,"2010/11/03 809 D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 VR11,35.373,47.355,5.5,20170216,321.9,36.3,86.7,31.0,0.145,41.364,5,MPO 386816,"2010/11/02 809 D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 VQ11,38.903,51.189,5.3,20170216,36.0,214.6,174.9,13.3,0.136,45.046,6,MPO 386816,"2010/11/02 809 D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 TK192,41.020,51.342,6.4,20170216,342.9,22.0,24.9,36.7,0.112,46.181,4,MPO 384210,2010/10/13 F51 Pan-STARRS 1
,2010 TG192,41.409,46.262,6.6,20170216,52.4,31.3,334.6,1.3,0.055,43.835,4,MPO 384210,2010/10/09 F51 Pan-STARRS 1
,2010 TF192,42.157,44.238,6.1,20170216,259.8,82.2,78.1,2.3,0.024,43.198,4,MPO 384210,2010/10/09 F51 Pan-STARRS 1
,2010 TE192,38.853,43.372,6.4,20170216,99.4,282.7,29.8,21.3,0.055,41.113,4,MPO 384210,2010/10/09 F51 Pan-STARRS 1
,2010 TD192,42.053,43.928,6.5,20170216,26.1,310.2,76.9,4.3,0.022,42.991,4,MPO 384210,2010/10/08 F51 Pan-STARRS 1
,2010 TA192,37.171,46.489,6.2,20170216,126.1,28.3,230.1,18.0,0.111,41.830,3,MPO 384209,2010/10/07 F51 Pan-STARRS 1
,2010 TP182,36.972,52.863,6.5,20170216,329.7,234.1,210.0,9.7,0.177,44.917,3,MPO 339441,2010/10/07 F51 Pan-STARRS 1
,2010 TN182,33.768,45.093,6.9,20170216,67.2,281.2,27.5,13.3,0.144,39.430,4,MPO 384209,2010/10/06 F51 Pan-STARRS 1
,2010 TM182,32.816,45.726,6.9,20170216,331.0,32.0,44.8,5.6,0.164,39.271,4,MPO 384209,2010/10/06 F51 Pan-STARRS 1
,2010 TL182,41.237,45.979,6.3,20170216,344.7,289.4,114.5,1.6,0.054,43.608,4,MPO 384209,2010/10/06 F51 Pan-STARRS 1
,2010 TJ182,28.705,50.231,7.9,20170216,354.8,170.8,232.6,9.5,0.273,39.468,4,MPO 384209,2010/10/06 F51 Pan-STARRS 1
,2010 SS43,35.407,54.814,5.7,20170216,315.4,111.9,341.5,34.5,0.215,45.111,4,MPO 384208,2010/09/17 F51 Pan-STARRS 1
,2010 SB41,28.209,51.939,8.1,20101011,346.7,253.3,139.3,5.2,0.296,40.074,( 78d),MPO 386815,2010/09/16 F51 PANSTARRS
,2010 RF188,32.743,60.309,5.0,20170216,243.5,333.8,178.3,13.9,0.296,46.526,4,MPO 384208,2010/09/15 F51 Pan-STARRS 1
,2010 RE188,39.223,52.321,6.4,20170216,345.2,210.7,189.2,6.8,0.143,45.772,4,MPO 384208,2010/09/15 F51 Pan-STARRS 1
,2010 RD188,37.963,42.527,5.7,20170216,306.8,359.6,65.1,28.0,0.057,40.245,3,MPO 384207,2010/09/08 F51 Pan-STARRS 1
,2010 RO64,41.161,52.108,5.0,20170216,3.3,312.6,60.8,17.1,0.117,46.634,5,MPO 386815,"2010/09/10 809 D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 RN64,37.312,44.142,5.4,20170216,271.6,42.9,68.4,19.9,0.084,40.727,5,MPO 386815,"2010/09/10 809 D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 RF64,35.485,50.047,5.0,20170216,23.7,208.7,131.1,28.7,0.170,42.766,3,MPO 307018,"2010/09/09 809 D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 RN45,36.129,43.773,5.9,20100921,103.2,110.9,123.6,32.9,0.096,39.951,( 66d),MPO 227490,"2010/09/07 809 D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 RF43,37.005,61.586,3.7,20170216,95.9,191.8,25.2,30.7,0.249,49.296,5,MPO 386814,"2010/09/06 809 D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 OO127,36.535,47.627,4.6,20170216,238.3,248.1,219.7,25.9,0.132,42.081,4,MPO 384207,2010/07/31 F51 Pan-STARRS 1
,2010 MQ116,34.375,49.501,5.3,20170216,232.8,166.4,5.2,30.9,0.180,41.938,4,MPO 384206,2010/06/16 F51 Pan-STARRS 1
,2010 LB136,28.995,49.815,6.4,20170216,358.4,158.4,132.5,14.1,0.264,39.405,4,MPO 384206,2010/06/04 F51 Pan-STARRS 1
,2010 LK109,42.257,48.779,8.9,20100723,119.0,75.7,48.0,7.7,0.072,45.518,( 85d),MPO 190724,"2010/06/11 568 M. Yagi, Y. Komiyama, F. Nakata, S. Shinogi"
,2010 LQ68,35.012,55.415,7.6,20170216,322.5,10.8,306.2,3.2,0.226,45.213,2,MPO 200860,"2010/06/11 568 M. Yagi, Y. Komiyama, F. Nakata, S. Shinogi"
,2010 LP68,35.187,37.776,9.1,20170216,51.5,303.5,262.2,10.7,0.035,36.482,2,MPO 200860,"2010/06/11 568 M. Yagi, Y. Komiyama, F. Nakata, S. Shinogi"
,2010 KZ39,43.062,47.711,4.0,20170216,254.8,315.1,53.1,26.0,0.051,45.387,3,MPO 232585,"2010/05/21 304 A. Udalski, S. S. Sheppard, M. Szymanski, C. A. Trujillo"
,2010 JK124,36.638,43.332,5.3,20170216,270.0,72.1,277.4,15.6,0.084,39.985,2,MPO 200859,"2010/05/11 304 C. A. Trujillo, A. Udalski, S. S. Sheppard"
,2010 HD112,43.143,45.848,6.5,20100504,0.0,310.2,280.2,3.9,0.030,44.496,( 50d),MPO 181805,"2010/04/20 304 A. Udalski, C. A. Trujillo, G. Pietrzynski, S. S. Sheppard"
,2010 HG109,30.539,49.141,7.3,20100504,0.1,184.3,47.8,29.2,0.233,39.840,( 49d),MPO 180051,"2010/04/21 304 S. S. Sheppard, A. Udalski, C. A. Trujillo, M. Kubiak"
,2010 FX86,44.207,50.058,4.2,20170216,293.3,347.1,310.9,25.2,0.062,47.133,3,MPO 369101,"2010/03/17 304 S. S. Sheppard, A. Udalski, I. Soszynski, C. A. Trujillo"
,2010 EL139,36.754,42.522,5.1,20170216,31.7,206.8,331.0,23.0,0.073,39.638,2,MPO 198981,"2010/03/12 304 A. Udalski, C. A. Trujillo, S. S. Sheppard, I. Soszynski"
,2010 AH2,38.687,42.658,5.6,20170216,320.0,51.6,127.6,18.0,0.049,40.672,6,MPO 384202,2010/01/06 291 Spacewatch
,2009 UF156,41.900,43.491,6.5,20170216,289.7,41.3,74.6,1.3,0.019,42.696,5,MPO 327059,2009/10/18 568
,2009 MG10,31.450,63.522,7.0,20090708,14.9,187.3,84.4,19.9,0.338,47.486,( 59d),MPO 181761,"2009/06/27 807 C. A. Trujillo, A. Udalski, S. S. Sheppard, I. Soszynski"
,2009 MA10,42.122,46.652,9.4,20090618,360.0,79.8,194.7,2.2,0.051,44.387,( 1d),MPO 170263,"2009/06/21 568 S. S. Sheppard, C. A. Trujillo"
,2009 KW36,38.054,51.920,8.7,20090529,56.2,83.1,21.9,29.7,0.154,44.987,( 28d),MPO 215168,2009/05/27 568
,2009 KV36,41.306,44.542,8.2,20090509,179.8,238.9,129.1,16.3,0.038,42.924,( 1d),MPO 215168,2009/05/25 568
,2009 KU36,35.923,50.061,9.2,20090509,351.4,57.4,143.3,20.4,0.164,42.992,( 6d),MPO 215168,2009/05/20 568
,2009 KT36,27.510,59.357,8.8,20090509,292.4,261.3,32.0,29.7,0.367,43.434,( 6d),MPO 215168,2009/05/20 568
,2009 KO30,41.516,47.396,8.6,20170216,225.6,343.3,53.9,9.4,0.066,44.456,3,MPO 201130,2009/05/25 568 M. Yagi
,2009 KM30,41.448,41.991,9.0,20090618,0.1,224.7,24.4,3.8,0.006,41.720,( 53d),MPO 160910,2009/05/25 568 M. Yagi
,2009 KL30,36.956,54.757,7.5,20170216,169.0,186.8,255.5,23.1,0.194,45.857,2,MPO 186002,2009/05/25 568 M. Yagi
,2009 KJ30,37.753,55.355,8.3,20090509,359.9,354.6,253.3,30.5,0.189,46.554,( 2d),MPO 159820,2009/05/25 568 M. Yagi
,2009 JF19,30.774,57.196,8.4,20090509,67.5,21.2,60.0,16.1,0.300,43.985,( 11d),MPO 215168,2009/05/15 568
,2009 JE19,24.425,62.565,7.1,20090509,323.5,127.2,144.0,22.0,0.438,43.495,( 11d),MPO 215168,2009/05/15 568
,2009 JD19,35.525,43.890,7.8,20090529,30.8,7.4,143.6,21.1,0.105,39.708,( 44d),MPO 215168,2009/05/15 568
,2009 JB19,38.953,54.107,7.7,20090509,66.3,53.0,41.4,18.5,0.163,46.530,( 8d),MPO 215168,2009/05/14 568
,2009 JA19,30.390,64.948,7.3,20090509,57.5,14.8,66.4,15.9,0.362,47.669,( 11d),MPO 215168,2009/05/14 568
,2009 JZ18,29.593,49.693,7.6,20170216,351.3,176.0,37.2,23.8,0.254,39.643,4,MPO 384198,2009/05/14 568
,2009 JW18,40.985,51.132,8.5,20090509,72.3,42.9,51.0,17.5,0.110,46.058,( 11d),MPO 215167,2009/05/14 568
