Designation (and name),Prov. Des.,q,Q,EMoid,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2016 TQ54,0.670,1.215,0.00064,27.2,20170216,233.4,243.5,7.8,1.4,0.289,0.943,( 4d),MPO 389529,2016/10/09 F51 Pan-STARRS 1
,2016 TZ19,0.396,1.497,0.01844,23.1,20170216,54.2,297.6,226.5,5.3,0.581,0.947,( 23d),MPEC 2016-W48,2016/10/08 F51 Pan-STARRS 1
,2016 TU19,0.523,1.099,0.01493,24.4,20170216,343.5,25.4,177.3,6.3,0.355,0.811,( 29d),MPO 389520,2016/10/08 F51 Pan-STARRS 1
,2016 TL10,0.759,1.066,0.02402,27.3,20170216,289.1,31.4,191.2,6.8,0.169,0.912,( 2d),MPO 389508,2016/10/04 G96 Mt. Lemmon Survey
,2016 TH10,0.370,1.161,0.00695,24.9,20170216,75.2,164.3,7.7,1.4,0.516,0.765,( 15d),MPEC 2016-W48,2016/10/04 G96 Mt. Lemmon Survey
,2016 SL3,0.801,1.178,0.07285,25.0,20170216,248.0,42.1,195.1,9.7,0.190,0.989,( 14d),MPO 389442,2016/09/25 G96 Mt. Lemmon Survey
,2016 SU2,0.520,1.274,0.00181,27.6,20170216,250.5,50.0,183.0,4.8,0.420,0.897,( 7d),MPEC 2016-Y68,2016/09/26 G96 Mt. Lemmon Survey
,2016 SX1,0.750,1.008,0.00573,28.6,20170216,355.6,178.5,1.2,2.6,0.147,0.879,( 6d),MPO 389437,2016/09/25 703 Catalina Sky Survey
,2016 RA34,0.652,1.231,0.02138,24.5,20170216,268.8,220.0,358.4,3.6,0.308,0.942,( 27d),MPO 389415,2016/09/11 G96 Mt. Lemmon Survey
,2016 RT20,0.523,1.133,0.02714,24.4,20170216,82.3,326.9,172.3,34.1,0.369,0.828,( 2d),MPO 389392,2016/09/10 G96 Mt. Lemmon Survey
,2016 RJ20,0.442,1.408,0.00814,23.6,20170216,262.8,55.6,153.3,5.2,0.522,0.925,( 24d),MPO 389390,2016/09/08 F51 Pan-STARRS 1
,2016 RL17,0.573,1.142,0.00163,26.5,20170216,89.5,318.3,166.4,3.2,0.332,0.858,( 3d),MPO 389382,2016/09/05 G96 Mt. Lemmon Survey
,2016 RG17,0.349,1.273,0.04438,23.0,20170216,315.0,29.1,170.1,22.0,0.569,0.811,( 32d),MPO 389381,2016/09/04 G96 Mt. Lemmon Survey
,2016 RT1,0.853,1.067,0.03648,21.9,20170216,37.5,145.3,343.8,30.5,0.112,0.960,( 21d),MPO 389351,2016/09/04 G96 Mt. Lemmon Survey
,2016 RB1,0.628,1.118,0.00017,28.3,20170216,85.1,135.5,345.7,1.8,0.281,0.873,( 2d),MPO 389349,2016/09/05 G96 Mt. Lemmon Survey
,2016 RZ,0.732,1.067,0.02426,26.7,20170216,331.6,357.3,191.7,2.0,0.186,0.900,( 26d),MPO 389349,2016/09/03 G96 Mt. Lemmon Survey
,2016 RT,0.880,1.069,0.05602,24.4,20170216,11.7,162.1,342.7,37.6,0.097,0.974,( 3d),MPO 389348,2016/09/02 G96 Mt. Lemmon Survey
,2016 QA2,0.717,1.174,0.00127,25.1,20170216,91.1,119.5,334.9,14.8,0.242,0.946,( 3d),MPO 389233,2016/08/27 Y00
,2016 PC2,0.432,1.170,0.04866,22.9,20170216,48.2,22.5,130.3,15.2,0.461,0.801,( 33d),MPO 392485,2016/08/02 F51 Pan-STARRS 1
,2016 PN,0.574,1.144,0.07114,20.4,20170216,19.5,23.7,126.1,21.6,0.332,0.859,(114d),MPEC 2016-W57,2016/08/02 T05
,2016 NF23,0.418,1.093,0.01235,22.9,20170216,107.6,343.2,150.3,4.4,0.447,0.755,( 28d),MPO 384673,2016/07/09 G96 Mt. Lemmon Survey
,2016 NJ22,0.773,1.127,0.00135,28.4,20170216,340.8,237.5,285.8,8.9,0.186,0.950,( 2d),MPO 384670,2016/07/09 G96 Mt. Lemmon Survey
,2016 NV15,0.511,1.326,0.10150,19.8,20170216,163.8,148.2,256.7,20.4,0.444,0.918,( 52d),MPO 384661,2016/07/05 703 Catalina Sky Survey
,2016 NC1,0.811,1.055,0.01876,25.3,20170216,98.1,332.8,106.7,7.2,0.131,0.933,( 4d),MPO 384642,2016/07/05 G96 Mt. Lemmon Survey
,2016 NB1,0.430,1.094,0.04724,23.9,20170216,129.9,0.7,113.0,6.7,0.435,0.762,( 5d),MPO 384642,2016/07/05 G96 Mt. Lemmon Survey
,2016 NR,0.587,1.179,0.03760,23.9,20170216,27.6,247.2,249.6,6.5,0.335,0.883,( 26d),MPO 384639,2016/07/03 G96 Mt. Lemmon Survey
,2016 MH3,0.641,1.093,0.02116,26.8,20160601,111.4,13.7,102.9,2.9,0.261,0.867,( 0d),MPO 392480,2016/06/16 G96 Mt. Lemmon Survey
,2016 LV10,0.361,1.126,0.02104,23.1,20170216,266.9,329.9,81.9,26.2,0.515,0.743,( 5d),MPO 386983,2016/06/08 703 Catalina Sky Survey
,2016 LC9,0.824,1.051,0.00824,27.0,20170216,53.5,35.6,73.9,6.0,0.121,0.938,( 4d),MPO 381221,2016/06/06 G96 Mt. Lemmon Survey
,2016 LB2,0.402,1.296,0.02515,22.6,20170216,69.5,226.3,230.0,21.9,0.527,0.849,( 7d),MPO 381213,2016/06/02 F51 Pan-STARRS 1
,2016 LO1,0.921,1.057,0.03282,25.3,20170216,51.2,208.8,248.2,18.4,0.069,0.989,( 6d),MPO 381212,2016/06/03 G96 Mt. Lemmon Survey
,2016 LL1,0.568,1.281,0.26036,21.3,20170216,60.0,358.6,83.1,23.5,0.386,0.925,( 3d),MPO 381211,2016/06/02 F51 Pan-STARRS 1
,2016 KL1,0.649,1.154,0.02367,21.7,20170216,203.4,317.0,69.8,18.1,0.280,0.901,2,MPO 381203,2016/05/22 C51 WISE
,2016 KO,0.563,1.071,0.00285,26.5,20170216,123.7,207.6,246.4,6.5,0.311,0.817,( 8d),MPO 386981,2016/05/28 703 Catalina Sky Survey
,2016 JJ38,0.768,1.175,0.03662,27.1,20160422,116.8,216.5,221.4,3.9,0.210,0.971,( 2d),MPO 382825,2016/05/01 W84 DECam
,2016 JU28,0.584,1.132,0.01477,27.7,20170216,103.8,33.9,53.9,6.3,0.319,0.858,( 3d),MPO 378557,2016/05/11 G96 Mt. Lemmon Survey
,2016 JX24,0.696,1.083,0.00975,25.4,20170216,99.8,217.1,227.0,7.2,0.218,0.889,( 18d),MPO 382823,2016/05/10 703 Catalina Sky Survey
,2016 JH18,0.664,1.129,0.01947,26.1,20170216,205.1,147.6,224.9,4.3,0.259,0.896,( 6d),MPO 378539,2016/05/08 G96 Mt. Lemmon Survey
,2016 JJ17,0.648,1.256,0.03513,22.9,20170216,55.8,320.7,125.4,5.6,0.319,0.952,( 29d),MPO 382823,2016/05/04 F51 Pan-STARRS 1
,2016 JP15,0.440,1.347,0.12526,21.2,20170216,176.8,333.9,61.3,24.1,0.507,0.894,( 35d),MPO 382823,2016/05/04 G96 Mt. Lemmon Survey
,2016 JH12,0.635,1.274,0.20329,22.3,20170216,97.4,193.4,218.9,18.0,0.335,0.954,( 9d),MPO 378530,2016/05/04 F51 Pan-STARRS 1
,2016 JE6,0.490,1.354,0.05308,24.2,20170216,232.6,156.9,203.4,6.3,0.468,0.922,( 8d),MPO 382822,2016/05/04 G96 Mt. Lemmon Survey
,2016 JC6,0.579,1.035,0.01819,21.3,20170216,199.5,174.0,236.9,6.8,0.282,0.807,( 44d),MPO 382822,2016/05/03 Y00
,2016 JV5,0.608,1.183,0.06455,23.2,20170216,152.1,338.6,70.3,8.5,0.321,0.896,( 34d),MPO 382822,2016/05/03 G96 Mt. Lemmon Survey
,2016 JP5,0.597,1.118,0.06483,22.7,20170216,139.4,205.2,217.2,65.5,0.304,0.857,( 9d),MPO 378515,2016/05/03 703 Catalina Sky Survey
,2016 JP,0.613,1.375,0.03000,21.2,20170216,1.1,255.6,202.7,11.4,0.383,0.994,( 57d),MPO 386979,2016/05/02 703 Catalina Sky Survey
,2016 JE,0.434,1.210,0.11177,21.8,20170216,186.5,347.5,51.4,16.7,0.472,0.822,( 30d),MPO 382821,2016/05/01 F51 Pan-STARRS 1
,2016 JB,0.779,1.039,0.00991,27.1,20170216,184.6,152.5,222.6,9.6,0.143,0.909,( 7d),MPO 382821,2016/05/02 703 Catalina Sky Survey
,2016 HJ19,0.691,1.266,0.24776,20.7,20170216,78.0,10.2,38.5,36.3,0.294,0.978,( 20d),MPO 386978,2016/04/30 F51 Pan-STARRS 1
,2016 HF19,0.783,1.051,0.00474,26.5,20170216,133.1,205.9,205.1,0.8,0.147,0.917,( 34d),MPO 382821,2016/04/30 F51 Pan-STARRS 1
,2016 HL3,0.809,1.128,0.03838,24.7,20170216,69.2,336.1,100.1,3.5,0.164,0.968,( 42d),MPO 386978,2016/04/27 F51 Pan-STARRS 1
,2016 HE3,0.464,1.087,0.05512,24.3,20170216,262.0,173.2,216.5,10.7,0.401,0.776,( 13d),MPO 378482,2016/04/27 G96 Mt. Lemmon Survey
,2016 HD3,0.699,1.140,0.00073,28.0,20170216,222.3,301.9,46.0,0.6,0.240,0.920,( 4d),MPO 378481,2016/04/27 G96 Mt. Lemmon Survey
,2016 HF2,0.795,1.182,0.00461,26.1,20170216,25.0,70.6,34.3,5.1,0.196,0.989,( 9d),MPO 382820,2016/04/25 703 Catalina Sky Survey
,2016 HK,0.774,1.066,0.01071,24.8,20170216,209.5,308.6,42.4,12.4,0.159,0.920,( 16d),MPO 378472,2016/04/19 G96 Mt. Lemmon Survey
