Designation (and name),Prov. Des.,q,Q,EMoid,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2015 XX168,0.482,1.196,0.00459,25.6,20170216,89.1,299.7,282.4,1.0,0.426,0.839,( 10d),MPO 358575,2015/12/08 G96 Mt. Lemmon Survey
,2015 XT168,0.680,1.198,0.06794,21.0,20170216,218.7,225.6,58.6,19.7,0.276,0.939,2,MPEC 2016-X30,2015/12/06 G96 Mt. Lemmon Survey
,2015 XS168,0.602,1.310,0.24855,23.1,20170216,262.1,191.6,69.6,21.9,0.370,0.956,( 5d),MPO 358574,2015/12/04 G96 Mt. Lemmon Survey
,2015 XB128,0.626,1.015,0.01576,25.4,20170216,24.9,15.8,245.1,15.6,0.237,0.820,( 7d),MPO 392478,2015/12/05 F51 Pan-STARRS 1
,2015 XQ55,0.365,1.332,0.07658,21.7,20170216,50.1,193.7,54.0,9.6,0.570,0.849,( 39d),MPO 369287,2015/12/04 F51 Pan-STARRS 1
,2015 XK55,0.724,1.075,0.08110,24.5,20170216,352.3,352.4,243.1,9.2,0.195,0.900,( 27d),MPO 369287,2015/12/03 F51 Pan-STARRS 1
,2015 XP54,0.530,1.221,0.06250,24.0,20170216,275.3,215.0,71.2,16.9,0.395,0.876,( 3d),MPO 358531,2015/12/03 G45 LINEAR
,2015 XT1,0.556,1.104,0.04928,23.3,20170216,44.6,102.3,143.9,5.0,0.330,0.830,( 37d),MPO 369285,2015/12/03 F51 Pan-STARRS 1
,2015 WZ12,0.424,1.019,0.00340,26.3,20170216,194.7,345.6,251.8,3.6,0.412,0.722,( 6d),MPO 386948,2015/11/30 703 Catalina Sky Survey
,2015 VP66,0.712,1.207,0.19558,22.3,20170216,343.4,168.8,22.9,19.0,0.258,0.960,2,MPO 389156,2015/11/09 G96 Mt. Lemmon Survey
,2015 VO66,0.381,1.523,0.04400,20.6,20170216,200.8,219.3,64.5,14.0,0.600,0.952,2,MPEC 2016-Y68,2015/11/08 G45 LINEAR
,2015 VH65,0.657,1.046,0.01307,27.7,20170216,86.8,330.2,227.1,13.4,0.228,0.851,( 4d),MPO 355054,2015/11/08 G96 Mt. Lemmon Survey
,2015 VU64,0.834,1.036,0.00063,30.6,20170216,268.8,49.7,224.6,2.5,0.108,0.935,( 2d),MPO 355052,2015/11/08 703 Catalina Sky Survey
,2015 VL64,0.647,1.171,0.00230,28.3,20170216,267.9,225.3,51.6,0.7,0.289,0.909,( 6d),MPO 355050,2015/11/07 G96 Mt. Lemmon Survey
,2015 VZ2,0.409,1.007,0.00943,22.7,20170216,226.6,186.5,41.7,17.0,0.422,0.708,( 21d),MPO 361296,2015/11/07 703 Catalina Sky Survey
,2015 VK1,0.561,1.394,0.00264,26.6,20170216,191.4,241.9,38.1,11.9,0.426,0.977,( 8d),MPO 361296,2015/11/03 F51 Pan-STARRS 1
,2015 VB1,0.858,1.114,0.12342,23.6,20170216,294.2,355.0,227.2,20.9,0.130,0.986,2,MPO 389155,2015/11/01 G96 Mt. Lemmon Survey
,2015 UH52,0.524,1.181,0.00061,26.0,20170216,343.3,225.6,26.5,4.7,0.385,0.853,( 15d),MPO 361293,2015/10/23 703 Catalina Sky Survey
,2015 TT238,0.664,1.107,0.02479,24.5,20170216,9.9,216.1,4.5,10.8,0.250,0.886,( 26d),MPO 361286,2015/10/12 G96 Mt. Lemmon Survey
,2015 TG24,0.415,1.078,0.00366,26.7,20170216,267.8,151.1,22.2,4.0,0.444,0.746,( 5d),MPO 361274,2015/10/09 703 Catalina Sky Survey
,2015 SJ7,0.400,1.066,0.01678,25.5,20170216,238.0,185.0,6.1,3.4,0.454,0.733,( 7d),MPO 369266,2015/09/23 F51 Pan-STARRS 1
,2015 SO2,0.889,1.106,0.02043,23.9,20170216,45.5,290.8,182.9,9.2,0.108,0.998,2,MPO 389153,2015/09/21 106
,2015 SY,0.471,1.366,0.00790,23.3,20170216,295.3,43.3,182.8,3.2,0.487,0.919,( 25d),MPO 357234,2015/09/20 703 Catalina Sky Survey
,2015 SD,0.632,1.090,0.07971,24.4,20170216,108.9,351.0,176.3,20.1,0.266,0.861,( 5d),MPO 347499,2015/09/17 703 Catalina Sky Survey
,2015 SA,0.628,1.052,0.00492,25.3,20170216,81.7,207.8,352.1,13.2,0.252,0.840,( 29d),MPO 369266,2015/09/16 Y00
,2015 RF36,0.836,1.062,0.03455,23.4,20170216,41.1,328.8,182.5,7.3,0.119,0.949,( 56d),MPO 357226,2015/09/11 G45 LINEAR
,2015 RT1,0.711,1.201,0.00767,25.4,20170216,300.8,48.5,165.7,1.7,0.256,0.956,( 7d),MPO 369261,2015/09/06 703 Catalina Sky Survey
,2015 QM3,0.331,1.081,0.05980,20.4,20170216,43.8,324.6,159.7,16.1,0.531,0.706,( 62d),MPEC 2016-W127,2015/08/19 C51 WISE
,2015 PQ291,0.749,1.216,0.18144,17.7,20170216,22.7,199.0,234.4,34.6,0.238,0.982,3,MPEC 2016-X07,2015/08/10 F51 Pan-STARRS 1
,2015 OQ21,0.502,1.077,0.00212,27.9,20170216,315.5,328.8,125.5,1.6,0.364,0.789,( 4d),MPO 344195,2015/07/19 F51 Pan-STARRS 1
,2015 NA14,0.788,1.144,0.06026,22.0,20170216,118.1,152.8,281.8,6.4,0.184,0.966,3,MPO 386923,2015/07/15 F51 Pan-STARRS 1
,2015 NG13,0.664,1.049,0.00617,24.9,20170216,174.8,202.6,272.3,5.3,0.225,0.856,( 10d),MPO 344153,2015/07/12 F51 Pan-STARRS 1
,2015 ME131,0.655,0.948,0.06977,19.5,20170216,288.8,169.6,309.8,23.5,0.183,0.802,( 2d),MPO 344134,2015/06/23 F51 Pan-STARRS 1
,2015 LA2,0.635,1.131,0.08492,23.1,20170216,173.7,3.7,85.4,7.7,0.281,0.883,( 33d),MPO 349340,2015/06/07 703 Catalina Sky Survey
,2015 KJ157,0.248,1.642,0.17127,19.2,20170216,229.8,302.0,101.5,36.9,0.738,0.945,2,MPO 382791,2015/05/30 F52 Pan-STARRS 2
,2015 KJ122,0.196,1.375,0.03169,22.0,20170216,13.4,229.7,188.0,5.1,0.750,0.785,( 25d),MPO 342336,2015/05/19 F51 Pan-STARRS 1
,2015 KT120,0.780,1.203,0.13122,25.1,20170216,36.7,27.7,72.5,14.8,0.213,0.992,2,MPO 380955,2015/05/23 G96 Mt. Lemmon Survey
,2015 KS120,0.848,1.119,0.07801,25.4,20170216,73.4,208.3,234.6,9.3,0.138,0.984,( 20d),MPO 342335,2015/05/22 F51 Pan-STARRS 1
,2015 KP57,0.505,1.422,0.00660,24.9,20170216,228.1,315.7,55.2,1.8,0.476,0.963,( 3d),MPO 337209,2015/05/22 F51 Pan-STARRS 1
,2015 KB57,0.371,1.518,0.14124,22.3,20170216,54.4,208.8,239.6,29.7,0.607,0.945,( 27d),MPO 369260,2015/05/20 W84 DECam
,2015 KQ18,0.485,1.236,0.01786,25.4,20170216,326.5,326.1,54.0,5.7,0.437,0.860,( 4d),MPO 337189,2015/05/19 F51 Pan-STARRS 1
,2015 KF,0.838,1.123,0.05178,25.1,20170216,55.3,39.6,58.5,7.5,0.145,0.980,( 25d),MPO 342325,2015/05/18 G96 Mt. Lemmon Survey
,2015 KE,0.853,1.095,0.00442,26.2,20170216,54.5,223.3,243.7,0.6,0.124,0.974,2,MPO 392465,2015/05/18 703 Catalina Sky Survey
,2015 KA,0.850,1.088,0.01581,26.2,20170216,53.8,233.7,237.1,9.5,0.123,0.969,( 24d),MPO 369260,2015/05/18 703 Catalina Sky Survey
,2015 JF11,0.830,1.161,0.11270,20.8,20170216,26.4,158.7,325.1,9.3,0.166,0.996,( 23d),MPO 374505,2015/05/13 C51 WISE
,2015 JR1,0.778,1.100,0.01750,26.1,20170216,97.9,227.6,229.1,11.9,0.171,0.939,( 9d),MPO 369260,2015/05/13 703 Catalina Sky Survey
,2015 HZ176,0.792,1.145,0.06731,23.7,20170216,190.0,323.0,35.9,11.0,0.182,0.968,( 12d),MPO 337165,2015/04/25 G96 Mt. Lemmon Survey
,2015 HZ116,0.668,1.241,0.06121,24.4,20170216,223.4,316.2,43.8,14.0,0.300,0.954,( 22d),MPO 337124,2015/04/23 F51 Pan-STARRS 1
,2015 HW10,0.836,1.033,0.01145,25.7,20170216,219.7,330.6,32.6,16.1,0.106,0.934,( 4d),MPO 337077,2015/04/21 G96 Mt. Lemmon Survey
,2015 HA1,0.783,1.146,0.05485,21.2,20170216,184.2,315.2,57.3,19.9,0.188,0.964,2,MPO 378359,2015/04/16 G96 Mt. Lemmon Survey
,2015 HK,0.657,1.087,0.02779,25.5,20170216,306.7,330.3,33.6,12.5,0.247,0.872,( 9d),MPO 369259,2015/04/16 G96 Mt. Lemmon Survey
,2015 FD341,0.310,1.600,0.12404,17.7,20170216,95.9,66.9,7.6,20.5,0.675,0.955,4,MPO 392460,2015/03/27 C51 WISE
,2015 FA285,0.396,1.085,0.00260,26.4,20170216,217.3,335.5,10.7,9.3,0.465,0.741,( 4d),MPO 369259,2015/03/29 703 Catalina Sky Survey
,2015 FW284,0.354,1.201,0.01954,24.7,20170216,171.2,188.4,149.6,2.5,0.545,0.777,( 2d),MPO 332810,2015/03/28 G96 Mt. Lemmon Survey
,2015 FV118,0.357,1.360,0.07445,21.6,20170216,349.3,267.4,98.7,6.2,0.584,0.858,2,MPO 361259,2015/03/25 F51 Pan-STARRS 1
,2015 FW117,0.530,1.186,0.00820,22.7,20170216,33.6,315.9,10.9,32.2,0.382,0.858,( 8d),MPO 369259,2015/03/24 703 Catalina Sky Survey
,2015 FQ117,0.327,1.395,0.02847,20.6,20170216,322.0,63.1,293.9,4.6,0.621,0.861,2,MPO 374499,2015/03/22 F51 Pan-STARRS 1
,2015 FM33,0.792,1.179,0.05005,24.5,20170216,101.9,236.7,162.8,11.1,0.196,0.986,2,MPO 370379,2015/03/16 F51 Pan-STARRS 1
,2015 FD,0.660,1.138,0.01325,26.6,20170216,202.5,44.7,356.1,5.6,0.266,0.899,( 9d),MPO 349337,2015/03/16 G96 Mt. Lemmon Survey
,2015 EB7,0.498,1.418,0.32997,21.5,20170216,158.2,356.3,15.8,26.7,0.480,0.958,2,MPO 377895,2015/03/13 G96 Mt. Lemmon Survey
,2015 EQ,0.333,1.006,0.00762,26.1,20170216,25.5,355.9,350.0,8.8,0.503,0.669,( 4d),MPO 369258,2015/03/11 703 Catalina Sky Survey
,2015 EG,0.554,1.170,0.00298,25.7,20170216,256.6,222.5,168.7,2.1,0.357,0.862,( 6d),MPO 369258,2015/03/09 G96 Mt. Lemmon Survey
,2015 DQ224,0.369,1.190,0.00030,29.3,20170216,58.7,215.0,149.0,11.0,0.526,0.779,( 0d),MPO 336811,2015/02/19 G96 Mt. Lemmon Survey
,2015 DR215,0.352,0.981,0.04516,20.3,20170216,53.3,42.3,315.0,4.1,0.472,0.666,2,MPO 377895,2015/02/18 F51 Pan-STARRS 1
,2015 DB156,0.656,1.192,0.08145,24.9,20170216,202.4,220.8,149.4,25.5,0.290,0.924,( 7d),MPO 380408,2015/02/20 G96 Mt. Lemmon Survey
,2015 DZ155,0.645,1.311,0.03437,24.4,20170216,299.9,301.6,326.0,14.1,0.341,0.978,( 8d),MPO 328636,2015/02/17 F51 Pan-STARRS 1
,2015 CJ13,0.608,1.351,0.00959,24.0,20170216,312.2,295.8,324.8,19.0,0.380,0.979,( 5d),MPO 328599,2015/02/13 703 Catalina Sky Survey
,2015 CU,0.773,1.169,0.16313,20.8,20170216,176.1,197.8,154.1,35.4,0.204,0.971,2,MPO 373587,2015/02/08 F51 Pan-STARRS 1
,2015 CR,0.686,1.220,0.03447,23.1,20170216,286.6,343.6,305.9,2.7,0.280,0.953,( 6d),MPO 328584,2015/02/09 G96 Mt. Lemmon Survey
,2015 CL,0.319,1.146,0.00037,25.4,20170216,337.2,330.9,320.1,3.0,0.565,0.732,( 2d),MPO 328583,2015/02/08 703 Catalina Sky Survey
,2015 CB,0.749,1.137,0.05058,23.2,20170216,185.4,47.6,319.2,15.8,0.206,0.943,2,MPO 370378,2015/02/02 F51 Pan-STARRS 1
,2015 BE513,0.590,1.332,0.10148,22.0,20170216,162.6,358.6,347.7,6.7,0.386,0.961,2,MPO 373587,2015/01/27 F51 Pan-STARRS 1
,2015 BY512,0.294,1.463,0.16890,21.4,20170216,309.6,13.9,317.6,23.3,0.666,0.878,( 32d),MPO 382759,2015/01/21 F51 Pan-STARRS 1
,2015 BW510,0.356,1.301,0.13791,20.8,20170216,154.8,98.3,168.2,12.9,0.570,0.829,( 26d),MPO 331426,2015/01/23 F51 Pan-STARRS 1
,2015 BM510,0.832,1.062,0.02345,25.1,20170216,314.6,357.3,267.9,1.6,0.122,0.947,( 33d),MPO 369257,2015/01/25 F51 Pan-STARRS 1
,2015 BE92,0.781,1.166,0.00550,28.1,20170216,326.0,303.1,290.2,1.0,0.198,0.973,( 10d),MPO 331391,2015/01/19 G96 Mt. Lemmon Survey
,2015 AJ44,0.465,1.310,0.06587,22.3,20170216,330.2,192.5,117.1,6.3,0.476,0.887,2,MPO 373583,2015/01/14 F51 Pan-STARRS 1
,2015 AC44,0.801,1.168,0.14738,24.4,20170216,190.8,26.6,295.8,20.4,0.186,0.985,( 6d),MPO 324234,2015/01/14 F51 Pan-STARRS 1
,2015 AB44,0.689,1.251,0.04423,22.6,20170216,314.4,122.9,123.2,15.1,0.290,0.970,2,MPO 382721,2015/01/14 F51 Pan-STARRS 1
,2015 AH,0.689,1.125,0.04074,21.5,20170216,274.8,70.6,255.3,14.1,0.240,0.907,2,MPO 364246,2015/01/09 F51 Pan-STARRS 1
,2014 YP44,0.803,1.057,0.01693,26.1,20170216,357.4,183.9,62.1,1.3,0.137,0.930,( 1d),MPO 324227,2014/12/30 G96 Mt. Lemmon Survey
,2014 YR15,0.443,1.057,0.03839,21.5,20170216,306.9,308.9,320.6,5.7,0.409,0.750,2,MPEC 2016-X66,2014/12/27 703 Catalina Sky Survey
,2014 YQ15,0.736,1.191,0.00322,21.2,20170216,194.2,252.3,81.9,10.9,0.236,0.964,2,MPO 382718,2014/12/27 703 Catalina Sky Survey
,2014 YE15,0.671,1.019,0.00278,28.3,20170216,129.0,333.1,276.8,3.2,0.206,0.845,( 2d),MPO 373581,2014/12/28 G96 Mt. Lemmon Survey
,2014 YW14,0.515,1.048,0.00190,27.6,20170216,266.6,332.4,275.5,6.9,0.341,0.781,( 1d),MPO 319070,2014/12/27 703 Catalina Sky Survey
,2014 YS,0.451,1.034,0.02046,24.5,20170216,288.2,174.4,108.7,4.3,0.392,0.742,( 26d),MPO 373581,2014/12/19 F51 Pan-STARRS 1
,2014 YN,0.772,1.012,0.00494,25.7,20170216,38.6,15.8,239.4,1.2,0.134,0.892,( 38d),MPO 369254,2014/12/16 F51 Pan-STARRS 1
,2014 YF,0.775,1.052,0.05406,22.7,20170216,338.3,90.6,177.9,5.9,0.151,0.914,( 79d),MPO 331366,2014/12/16 F51 Pan-STARRS 1
,2014 XU6,0.430,1.090,0.09530,23.9,20170216,300.6,352.0,259.3,30.7,0.434,0.760,2,MPEC 2016-X72,2014/12/12 G96 Mt. Lemmon Survey
,2014 WZ365,0.451,1.127,0.00119,26.0,20170216,291.2,321.3,261.8,1.3,0.429,0.789,( 4d),MPO 331362,2014/11/28 G96 Mt. Lemmon Survey
,2014 WT202,0.905,1.026,0.03706,21.1,20170216,306.2,185.7,58.8,23.4,0.063,0.966,2,MPO 357219,2014/11/23 703 Catalina Sky Survey
,2014 WQ202,0.383,1.476,0.00143,23.8,20170216,261.9,133.8,141.0,1.6,0.588,0.930,( 27d),MPO 342303,2014/11/22 F51 Pan-STARRS 1
,2014 WM7,0.708,1.268,0.07733,23.7,20170216,3.6,314.6,228.1,10.8,0.284,0.988,( 10d),MPO 357218,2014/11/18 G96 Mt. Lemmon Survey
,2014 WE6,0.837,1.101,0.00012,30.4,20170216,224.1,251.5,52.6,0.3,0.136,0.969,( 4d),MPO 318751,2014/11/17 G96 Mt. Lemmon Survey
,2014 WC5,0.744,1.073,0.03780,24.7,20170216,68.3,150.6,59.5,6.7,0.181,0.908,( 25d),MPO 318749,2014/11/17 703 Catalina Sky Survey
,2014 UV116,0.201,1.633,0.03513,23.6,20170216,279.6,211.6,37.0,42.3,0.780,0.917,( 5d),MPO 322374,2014/10/28 703 Catalina Sky Survey
,2014 UN114,0.754,1.041,0.00080,24.5,20170216,39.5,38.6,203.8,3.4,0.160,0.897,( 65d),MPO 327185,2014/10/26 703 Catalina Sky Survey
,2014 UW33,0.473,1.198,0.09369,22.8,20170216,142.8,15.9,217.3,13.5,0.434,0.836,( 39d),MPO 349335,2014/10/22 703 Catalina Sky Survey
,2014 US7,0.627,1.097,0.00772,26.4,20170216,84.8,219.6,25.8,9.7,0.273,0.862,( 6d),MPO 313381,2014/10/20 G96 Mt. Lemmon Survey
,2014 UR,0.981,1.010,0.01019,26.6,20170216,269.6,211.6,24.5,8.3,0.014,0.995,2,MPO 369235,2014/10/17 703 Catalina Sky Survey
,2014 TC36,0.575,1.030,0.03045,25.0,20170216,277.4,175.1,22.5,15.5,0.283,0.803,( 12d),MPO 322359,2014/10/14 703 Catalina Sky Survey
,2014 TC,0.702,1.156,0.01485,26.2,20170216,135.1,306.2,188.0,15.9,0.244,0.929,( 1d),MPO 309137,2014/10/01 703 Catalina Sky Survey
,2014 SS261,0.842,1.072,0.01511,26.3,20170216,82.1,128.6,3.2,10.9,0.120,0.957,( 21d),MPO 322349,2014/09/26 703 Catalina Sky Survey
,2014 SD224,0.654,1.301,0.01726,22.2,20170216,291.8,277.1,286.5,4.5,0.331,0.978,3,MPO 392452,2014/09/22 F51 Pan-STARRS 1
,2014 SH144,0.743,1.119,0.06001,25.0,20170216,112.6,144.0,0.9,21.9,0.202,0.931,( 7d),MPO 322346,2014/09/22 F51 Pan-STARRS 1
,2014 SM1,0.681,1.155,0.02781,25.6,20170216,24.5,220.4,354.4,7.3,0.258,0.918,( 9d),MPO 309118,2014/09/18 F51 Pan-STARRS 1
,2014 RX22,0.591,1.055,0.04375,26.0,20170216,256.9,188.1,350.1,20.0,0.282,0.823,( 5d),MPO 309104,2014/09/14 G96 Mt. Lemmon Survey
,2014 RE11,0.209,1.243,0.04343,22.7,20170216,91.4,19.3,163.4,29.6,0.712,0.726,( 21d),MPO 311498,2014/09/01 703 Catalina Sky Survey
,2014 QA433,0.679,1.255,0.13105,21.8,20170216,95.6,322.1,155.6,38.5,0.298,0.967,( 22d),MPO 311496,2014/08/31 703 Catalina Sky Survey
,2014 QE365,0.397,1.332,0.15998,21.0,20170216,270.9,352.9,151.8,16.1,0.540,0.864,( 23d),MPO 311486,2014/08/23 F51 Pan-STARRS 1
,2014 QD364,0.946,1.028,0.01272,27.2,20170216,334.6,26.5,156.6,4.0,0.042,0.987,( 17d),MPO 315305,2014/08/30 703 Catalina Sky Survey
,2014 QZ295,0.633,1.273,0.01066,24.8,20170216,134.6,325.7,144.0,1.3,0.336,0.953,( 17d),MPO 311477,2014/08/20 F51 Pan-STARRS 1
,2014 QZ265,0.718,1.204,0.02530,25.3,20170216,132.4,122.2,332.7,26.2,0.253,0.961,( 5d),MPO 305400,2014/08/23 F51 Pan-STARRS 1
,2014 OL339,0.539,1.460,0.01793,22.9,20170216,285.0,289.7,252.2,10.2,0.461,0.999,3,MPO 392451,2014/07/29 950 EURONEAR
,2014 NQ64,0.522,1.171,0.01303,24.0,20140702,235.3,328.8,98.8,4.4,0.383,0.847,( 1d),MPO 303433,2014/07/01 F51 Pan-STARRS 1
,2014 MD42,0.622,1.096,0.05667,24.5,20170216,298.8,187.3,264.3,6.9,0.276,0.859,( 16d),MPO 303425,2014/06/30 F51 Pan-STARRS 1
,2014 MV18,0.574,1.027,0.01036,23.7,20170216,58.7,358.6,101.8,10.2,0.283,0.801,( 18d),MPO 303423,2014/06/26 703 Catalina Sky Survey
,2014 MF18,0.742,1.030,0.00738,26.0,20170216,242.8,350.2,102.3,2.6,0.162,0.886,( 11d),MPO 298943,2014/06/25 703 Catalina Sky Survey
,2014 MA18,0.615,1.140,0.00010,25.5,20170216,194.0,44.4,87.0,6.2,0.299,0.877,( 9d),MPO 298943,2014/06/24 F51 Pan-STARRS 1
,2014 MZ17,0.752,1.158,0.03279,24.1,20170216,60.8,191.9,304.7,2.4,0.213,0.955,2,MPO 353706,2014/06/24 F51 Pan-STARRS 1
,2014 MR5,0.825,1.083,0.05696,24.3,20170216,103.8,19.2,84.7,17.0,0.136,0.954,( 4d),MPO 298936,2014/06/20 F51 Pan-STARRS 1
,2014 LY21,0.427,1.030,0.00024,29.1,20170216,331.9,348.1,73.1,10.8,0.413,0.729,( 0d),MPO 296117,2014/06/02 G96 Mt. Lemmon Survey
,2014 LK21,0.868,1.059,0.01322,25.9,20170216,179.8,139.5,251.5,5.8,0.099,0.963,( 18d),MPO 307090,2014/06/07 703 Catalina Sky Survey
,2014 LZ20,0.423,1.069,0.02826,25.2,20170216,247.5,355.0,79.8,6.1,0.433,0.746,( 3d),MPO 300700,2014/06/06 F51 Pan-STARRS 1
,2014 KV76,0.544,1.153,0.06027,21.0,20170216,62.3,157.7,232.8,12.8,0.359,0.848,( 10d),MPO 296111,2014/05/28 703 Catalina Sky Survey
,2014 KS76,0.677,1.178,0.00146,26.6,20170216,121.3,51.8,62.1,1.1,0.270,0.928,2,MPO 347317,2014/05/27 F51 Pan-STARRS 1
,2014 KM39,0.566,1.248,0.01536,24.4,20170216,162.9,228.0,233.9,13.3,0.376,0.907,( 39d),MPO 300695,2014/05/25 F51 Pan-STARRS 1
,2014 KG39,0.579,1.226,0.02249,24.9,20170216,313.4,150.8,236.8,3.5,0.358,0.902,( 13d),MPO 296104,2014/05/21 F51 Pan-STARRS 1
,2014 JU15,0.388,1.065,0.00153,24.8,20170216,321.9,20.2,38.6,9.1,0.465,0.727,( 36d),MPO 297975,2014/05/04 703 Catalina Sky Survey
,2014 JN2,0.281,1.499,0.01464,24.3,20170216,42.5,148.8,219.8,6.2,0.684,0.890,( 4d),MPO 300688,2014/05/02 G96 Mt. Lemmon Survey
,2014 HM196,0.451,1.225,0.11558,25.9,20170216,32.4,194.9,210.7,16.2,0.462,0.838,( 2d),MPO 317868,2014/04/23 W84 DECam
,2014 HJ184,0.579,1.292,0.24597,21.7,20170216,239.8,357.4,28.7,19.5,0.381,0.935,( 33d),MPO 311404,2014/04/28 W84 DECam
,2014 HQ124,0.630,1.071,0.00850,18.9,20170216,30.8,144.5,257.6,26.4,0.259,0.851,( 61d),MPO 307081,2014/04/23 C51 WISE
,2014 HB124,0.410,1.275,0.05655,23.1,20170216,59.6,168.4,222.0,6.6,0.513,0.843,( 9d),MPO 315290,2014/04/23 W84 DECam
,2014 HN2,0.817,1.036,0.00618,26.5,20170216,220.4,207.3,198.9,1.2,0.118,0.926,( 43d),MPO 297956,2014/04/21 G96 Mt. Lemmon Survey
,2014 GC49,0.262,1.208,0.00035,28.6,20170216,296.4,207.5,193.3,6.4,0.644,0.735,( 1d),MPO 290464,2014/04/04 G96 Mt. Lemmon Survey
,2014 GJ45,0.630,1.245,0.05172,23.6,20170216,308.5,312.4,22.0,21.3,0.328,0.938,( 17d),MPO 315289,2014/04/07 G96 Mt. Lemmon Survey
,2014 GF45,0.753,1.215,0.19046,23.3,20170216,169.1,170.4,198.9,16.0,0.235,0.984,3,MPO 380389,2014/04/04 F51 Pan-STARRS 1
,2014 GT34,0.579,1.125,0.12305,21.7,20170216,53.4,5.1,10.8,34.7,0.321,0.852,( 30d),MPO 294932,2014/04/04 703 Catalina Sky Survey
,2014 GQ17,0.643,1.065,0.00012,27.1,20170216,354.5,330.9,79.0,0.1,0.247,0.854,( 25d),MPO 327163,2014/04/05 703 Catalina Sky Survey
,2014 GS1,0.571,1.238,0.00336,26.7,20170216,210.7,232.5,193.5,11.9,0.369,0.904,( 1d),MPO 290442,2014/04/04 G96 Mt. Lemmon Survey
,2014 GJ1,0.685,1.199,0.03121,24.2,20170216,149.5,40.4,24.0,5.0,0.273,0.942,( 25d),MPO 315289,2014/04/01 703 Catalina Sky Survey
,2014 FO47,0.548,0.956,0.04731,20.3,20170216,354.3,347.5,358.7,19.2,0.271,0.752,2,MPO 363986,2014/03/30 G96 Mt. Lemmon Survey
,2014 FO38,0.441,1.037,0.01114,26.3,20170216,341.4,14.4,10.4,9.7,0.403,0.739,( 7d),MPO 307079,2014/03/28 703 Catalina Sky Survey
,2014 FN38,0.567,1.080,0.01386,26.8,20170216,81.5,27.4,9.5,6.6,0.312,0.824,( 7d),MPO 290419,2014/03/28 703 Catalina Sky Survey
,2014 FK38,0.697,1.072,0.00253,25.2,20170216,49.8,319.0,7.9,4.4,0.212,0.885,( 2d),MPO 290419,2014/03/27 J75
,2014 FW32,0.781,1.080,0.00869,27.0,20170216,215.5,260.3,139.0,1.3,0.161,0.931,( 6d),MPO 290409,2014/03/25 G96 Mt. Lemmon Survey
,2014 FZ6,0.893,1.071,0.07044,24.7,20170216,183.0,170.2,183.6,14.4,0.090,0.982,( 8d),MPO 290393,2014/03/23 G96 Mt. Lemmon Survey
,2014 EL,0.568,1.290,0.00774,27.0,20170216,188.3,235.4,164.3,10.3,0.389,0.929,( 3d),MPO 286769,2014/03/05 703 Catalina Sky Survey
,2014 DV110,0.584,1.075,0.00251,24.9,20170216,118.8,222.2,139.4,2.0,0.296,0.829,( 10d),MPO 292232,2014/02/28 G96 Mt. Lemmon Survey
,2014 DJ80,0.912,1.042,0.03922,26.3,20170216,184.0,20.9,338.0,3.0,0.067,0.977,( 22d),MPO 292230,2014/02/26 F51 Pan-STARRS 1
,2014 DG23,0.717,1.112,0.05279,25.1,20170216,271.2,215.3,157.2,11.9,0.216,0.914,( 7d),MPO 286760,2014/02/27 G96 Mt. Lemmon Survey
,2014 DF23,0.724,1.098,0.01605,24.6,20170216,31.5,314.6,334.9,7.4,0.205,0.911,( 12d),MPO 286760,2014/02/27 G96 Mt. Lemmon Survey
,2014 DH,0.629,1.344,0.00432,26.6,20170216,94.8,284.2,109.2,1.2,0.362,0.987,( 14d),MPO 303403,2014/02/19 G96 Mt. Lemmon Survey
,2014 DE,0.612,1.228,0.16872,23.5,20170216,292.5,198.2,146.5,19.0,0.335,0.920,( 1d),MPO 286751,2014/02/18 G96 Mt. Lemmon Survey
,2014 CE13,0.369,1.331,0.00779,24.0,20170216,211.0,312.5,335.0,5.4,0.566,0.850,( 8d),MPO 286741,2014/02/10 G96 Mt. Lemmon Survey
,2014 CA13,0.688,1.149,0.03177,25.5,20170216,50.6,129.8,138.3,21.9,0.251,0.919,( 2d),MPO 284143,2014/02/08 G96 Mt. Lemmon Survey
,2014 BU43,0.440,1.043,0.00820,26.6,20170216,130.9,341.1,312.8,6.8,0.406,0.742,( 5d),MPO 284133,2014/01/28 G96 Mt. Lemmon Survey
,2014 BA33,0.620,1.269,0.20240,21.9,20170216,348.1,154.1,122.5,39.4,0.344,0.945,( 15d),MPO 288550,2014/01/26 F51 Pan-STARRS 1
,2014 BW32,0.583,1.057,0.00305,26.6,20170216,267.4,156.5,123.6,0.9,0.289,0.820,( 12d),MPO 284129,2014/01/23 G96 Mt. Lemmon Survey
,2014 BG25,0.677,1.118,0.03685,25.3,20170216,338.6,218.6,124.7,9.9,0.245,0.897,( 11d),MPO 284126,2014/01/24 F51 Pan-STARRS 1
,2014 BT8,0.894,1.077,0.00141,25.0,20170216,134.1,263.8,121.7,12.5,0.093,0.986,( 6d),MPO 288549,2014/01/23 703 Catalina Sky Survey
,2014 BA3,0.869,1.009,0.00932,28.2,20170216,346.6,332.6,299.9,2.3,0.075,0.939,( 8d),MPO 284115,2014/01/21 G96 Mt. Lemmon Survey
